Percentage served,Time in ms
0,8103.937
1,31992.668
2,32092.612
3,32684.575
4,32690.882
5,33088.576
6,33295.052
7,33705.369
8,34108.647
9,34194.843
10,34195.623
11,34886.382
12,35020.850
13,35087.691
14,35215.410
15,35304.522
16,35304.689
17,35400.501
18,35610.856
19,36206.064
20,36282.809
21,36293.729
22,36298.144
23,36305.844
24,36491.977
25,36595.719
26,36689.715
27,36705.362
28,36890.117
29,37001.742
30,37098.072
31,37204.761
32,37306.028
33,37683.515
34,37696.045
35,37698.937
36,37699.160
37,37899.673
38,37987.040
39,38017.740
40,38195.089
41,38205.294
42,38308.339
43,38399.447
44,38593.256
45,38595.930
46,38596.555
47,38614.702
48,38697.777
49,38713.205
50,38797.992
51,38906.186
52,38920.081
53,38996.000
54,39008.963
55,39013.062
56,39099.504
57,39194.954
58,39207.507
59,39298.981
60,39304.079
61,39602.149
62,39690.259
63,39788.867
64,40002.095
65,40102.817
66,40287.399
67,40604.541
68,40710.588
69,40786.653
70,40791.775
71,40900.476
72,41100.697
73,41404.710
74,41500.278
75,41796.895
76,42011.753
77,42302.672
78,42399.474
79,43185.203
80,43207.124
81,43513.034
82,43696.118
83,43817.026
84,43989.244
85,43990.442
86,44101.204
87,44104.154
88,44285.679
89,44686.960
90,44701.611
91,45302.492
92,45697.377
93,46004.979
94,46388.599
95,46514.342
96,46697.041
97,47279.442
98,47493.022
99,47498.498
100,47498.498
